Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       84     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       83     0.00     0.00  std::thread::id::id()
  0.00      0.00     0.00       80     0.00     0.00  std::__shared_ptr<std::__future_base::_State_baseV2, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.00     0.00       77     0.00     0.00  void (LsCommand::*&&std::forward<void (LsCommand::*)(std::filesystem::__cxx11::path const&, bool, bool)>(std::remove_reference<void (LsCommand::*)(std::filesystem::__cxx11::path const&, bool, bool)>::type&))(std::filesystem::__cxx11::path const&, bool, bool)
  0.00      0.00     0.00       73     0.00     0.00  std::future<void>&& std::forward<std::future<void> >(std::remove_reference<std::future<void> >::type&)
  0.00      0.00     0.00       72     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       71     0.00     0.00  std::remove_reference<std::shared_ptr<std::__future_base::_State_baseV2>&>::type&& std::move<std::shared_ptr<std::__future_base::_State_baseV2>&>(std::shared_ptr<std::__future_base::_State_baseV2>&)
  0.00      0.00     0.00       71     0.00     0.00  std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<void (RmCommand::*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, bool), RmCommand*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, bool, bool> >, void>*&& std::forward<std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<void (RmCommand::*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, bool), RmCommand*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, bool, bool> >, void>*>(std::remove_reference<std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<void (RmCommand::*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, bool), RmCommand*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, bool, bool> >, void>*>::type&)
  0.00      0.00     0.00       70     0.00     0.00  std::filesystem::__cxx11::path const& std::forward<std::filesystem::__cxx11::path const&>(std::remove_reference<std::filesystem::__cxx11::path const&>::type&)
  0.00      0.00     0.00       68     0.00     0.00  __gnu_cxx::__normal_iterator<std::future<void>*, std::vector<std::future<void>, std::allocator<std::future<void> > > >::__normal_iterator(std::future<void>* const&)
